_Word,Pron,Log_Freq_HAL,Log_Freq_SUBTLEX,aoa
beak,b!k,6.37,2.03,5.42
beam,b!m,8.97,2.65,8.78
beams,b!mz,7.6,2.14,8.78
bean,b!n,8.18,2.54,3.42
beans,b!nz,8.49,2.87,3.42
bear,bɛr,10.07,3.47,3.58
bear's,bɛrz,6.02,NULL,NaN
beard,bIrd,8.06,2.81,4.84
beards,bIrdz,5.95,1.6,4.84
bears,bɛrz,9.03,2.76,3.58
beast,b!st,9.7,3.1,5.74
beasts,b!sts,8.13,2.28,5.74
beat,b!t,10.41,3.83,6.15
beats,b!ts,8.75,2.89,6.15
beau,bo,6.92,2.48,12.23
beaut,byut,5.19,1.83,NaN
beck,bɛk,7.64,2.29,11.75
bed,bɛd,10.35,3.98,2.89
beds,bɛdz,7.79,2.64,2.89
bee,b!,8.1,2.72,5
bee's,b!z,4.8,NULL,NaN
beech,b!©,6.23,1.28,11.69
beef,b!f,8.57,3,6.58
beef's,b!fs,1.39,NULL,NaN
beefed,b!ft,5.33,1.23,6.58
been,b!n,13.51,4.95,5.11
beep,b!p,7.74,2.52,5.32
beeps,b!ps,7.06,2.19,5.32
beer,bIr,10.11,3.59,6.11
beers,bIrz,8.32,2.74,6.11
bees,b!z,8.53,2.44,5
beet,b!t,6.04,1.18,6.56
beets,b!ts,5.06,1.72,6.56
beg,bɛg,8.43,3.42,5.78
begged,bɛgd,7.08,2.57,5.78
begs,bɛgz,7.07,1.86,5.78
beige,beʒ,7.19,1.85,7.74
belch,bɛl©,5.65,1.58,6.22
belched,bɛl©t,4.25,0.6,6.22
bell,bɛl,10.12,3.3,3.89
belle,bɛl,7.74,2.62,10.37
belles,bɛlz,5.32,0.95,10.37
bells,bɛlz,7.97,2.83,3.89
belt,bɛlt,9.29,3.09,4.62
belts,bɛlts,7.76,2.41,4.62
Ben,bɛn,10.01,3.7,NaN
Ben's,bɛnz,6.21,NULL,NaN
bench,bɛn©,8.59,2.69,4.21
benched,bɛn©t,4.67,1.34,NaN
bend,bɛnd,8.84,2.89,5.56
bends,bɛndz,7.03,1.89,5.56
bent,bɛnt,9.04,2.57,5.56
berg,bɝg,7.53,1.9,NaN
Bern,bɝn,6.64,NULL,NaN
Bert,bɝt,7.78,NULL,NaN
berth,bɝθ,5.97,1.61,11.2
best,bɛst,12.51,4.31,4.09
bet,bɛt,10.31,3.94,7
Beth,bɛθ,8.54,2.91,NaN
bets,bɛts,8.08,2.73,7
bias,bĨəs,9.12,1.92,10.71
bib,bIb,6.66,1.42,4.53
bid,bId,11.71,2.81,9.84
bide,bĨd,5.5,1.46,13.56
bids,bIdz,10.9,1.91,9.84
big,bIg,12.09,4.54,2.89
bike,bĨk,10.02,3.12,4.79
bile,bĨl,7.39,1.61,11.67
bilge,bIlĵ,5.78,1.76,12.53
bilk,bIlk,4.68,0.78,13.88
bilked,bIlkt,3.56,0.9,13.88
bill,bIl,11.67,3.78,6.42
Bill's,bIlz,7.51,NULL,NaN
billed,bIld,7.58,1.57,6.42
bills,bIlz,9.25,3.04,6.42
bin,bIn,9.67,2.44,4.68
bind,bĨnd,8.82,2.24,10.24
binds,bĨndz,6.71,1.59,10.24
bing,bIŋ,6.49,2.37,NaN
binge,bInĵ,5.67,1.68,15.22
bins,bInz,6.57,1.6,4.68
birch,bɝ©,7.22,1.9,10.84
bird,bɝd,9.86,3.37,3.52
bird's,bɝdz,6.39,NULL,NaN
birds,bɝdz,9.58,3.12,3.52
birth,bɝθ,10.06,3.15,5.21
birthed,bɝθt,4.09,1.11,5.21
births,bɝθs,6.96,1.48,5.21
bisque,bIsk,4.7,1.32,14
bit,bIt,11.98,4.08,6.47
bitch,bI©,9.15,3.94,10.11
bite,bĨt,9.01,3.32,3.58
bites,bĨts,7.97,2.45,3.58
bits,bIts,10.08,2.74,6.47
biz,bIz,8.29,1.98,9.93
blab,blæb,4.69,1.48,7.95
blabbed,blæbd,3.5,1.11,7.95
black,blæk,11.99,3.93,3.56
black's,blæks,6.49,NULL,NaN
blacked,blækt,6.11,2.05,3.56
blacks,blæks,9.28,2.23,3.56
blade,bled,9.17,2.82,6.72
blades,bledz,8.37,2.22,6.72
blah,blɑ,9.46,2.84,8.98
blame,blem,9.76,3.48,6.48
blamed,blemd,7.93,2.46,6.48
blanch,blæn©,4.52,1.15,13.12
bland,blænd,7.43,1.75,8.35
blank,blæŋk,9.63,2.7,6.05
blanks,blæŋks,7.83,2.16,6.05
blare,blɛr,3.87,1.32,10.22
blared,blɛrd,4.23,0.3,10.22
blast,blæst,9.85,2.92,7.06
blasts,blæsts,7.28,1.68,7.06
blaze,blez,8.43,2.03,7.47
blazed,blezd,5.12,1.26,7.47
bleach,bl!©,7.18,2.08,8
bleached,bl!©t,5.52,1.7,NaN
bleak,bl!k,6.58,1.75,10.94
bleat,bl!t,4.85,0.85,12.92
bleats,bl!ts,3.83,0.7,12.92
bled,blɛd,6.27,2.31,4.28
bleed,bl!d,7.83,2.71,4.28
bleeds,bl!dz,6.25,1.88,4.28
bleep,bl!p,4.85,2.14,9.47
bleeps,bl!ps,3.97,1.54,9.47
blend,blɛnd,8.09,2.34,10.17
blends,blɛndz,6.49,1.18,10.17
blent,blɛnt,NULL,NULL,NaN
bless,blɛs,8.28,3.25,5.33
blest,blɛst,3.4,0.78,5.33
blew,blu,8.58,3.21,4
blight,blĨt,7.59,1.48,11.73
blimp,blImp,5.76,1.73,6.63
blind,blĨnd,9.51,3.37,7
blinds,blĨndz,6.55,2.04,7
blink,blIŋk,7.63,2.41,5.63
blinked,blIŋkt,6.33,1.82,5.63
blip,blIp,5.78,1.62,11.31
blips,blIps,4.63,0.78,11.31
bliss,blIs,7.7,2.21,10.16
blithe,blĨð,5.28,1.08,16.13
blitz,blIts,7.28,1.81,10.4
bloat,blot,6.34,1.43,11.56
blob,blɑb,7.06,1.79,6.16
block,blɑk,10.41,3.32,4.79
blocked,blɑkt,8.51,2.54,4.79
blocks,blɑks,9.58,2.88,4.79
bloke,blok,6.79,2.38,13.88
blokes,bloks,5.25,1.87,13.88
blond,blɑnd,8.08,2.73,6.72
blonde,blɑnd,8.8,2.85,6.06
blonde's,blɑndz,5.6,NULL,NaN
blondes,blɑndz,6.99,1.9,6.06
blood,blʌd,10.86,3.98,4.89
bloods,blʌdz,5.12,1.65,4.89
bloom,blum,8.24,2.45,6.84
bloomed,blumd,4.8,1.04,6.84
blooms,blumz,6.52,1.56,6.84
blot,blɑt,6.27,1.69,8.38
blotch,blɑ©,4.32,1.04,9.28
blots,blɑts,4.95,0.95,8.38
blouse,blĂs,7.43,2.44,6.65
blow,blo,9.74,3.7,4
blower,bloɝ,6.28,1.26,8.32
blowers,bloɝz,5.4,1.04,8.32
blown,blon,8.66,2.91,4
blows,bloz,8.46,2.9,4
blue,blu,11.4,3.72,3.53
blues,bluz,9.44,2.72,9.81
bluff,blʌf,7,2.5,8.82
bluffs,blʌfs,5.56,1.38,8.82
blunt,blʌnt,7.45,2.4,11.05
blunts,blʌnts,4.2,1.28,11.05
blur,blɝ,7.4,2.04,8.95
blurb,blɝb,7.44,1.15,11.56
blurred,blɝd,6.54,1.58,8.95
blush,blʌ∫,7.13,2.14,7.95
blushed,blʌ∫t,6.84,0.9,7.95
boa,boə,6.66,1.83,9.56
boar,bɔr,6.03,2.05,9.83
board,bɔrd,11.28,3.51,6.37
board's,bɔrdz,6.29,NULL,NaN
boards,bɔrdz,10.05,2.35,6.37
boast,bost,6.86,1.74,8.22
boasts,bosts,6.59,1.23,8.22
boat,bot,9.67,3.69,3.84
boat's,bots,4.38,NULL,NaN
boats,bots,8.63,2.78,3.84
bob,bɑb,11.07,3.67,6.16
Bob's,bɑbz,7.65,NULL,NaN
bobbed,bɑbd,5.38,1,6.16
bock,bɑk,6.85,1.32,NaN
bod,bɑd,6.64,1.59,NaN
bode,bod,6.4,1.4,10.93
bodes,bodz,4.8,1.04,10.93
bog,bɑg,8.74,1.7,9.37
bogged,bɑgd,6.54,1.4,9.37
boil,bœl,8.25,2.48,6.6
boiled,bœld,7.57,2.23,6.6
boils,bœlz,7.35,2.01,6.6
bold,bold,8.61,2.59,9.21
boll,bol,4.93,1,NaN
bolt,bolt,8.89,2.55,7.28
bolts,bolts,8.04,2.05,7.28
bomb,bɑm,9.64,3.44,8
bombed,bɑmd,7.45,2.3,8
bombs,bɑmz,8.73,2.86,8
bond,bɑnd,9.47,3.2,10.21
bonds,bɑndz,8.96,2.53,10.21
bone,bon,9.68,3.12,5.53
bones,bonz,8.88,3.19,5.53
bong,bɑŋ,7.2,2.16,14.16
