_Word,Pron,Log_Freq_HAL,Log_Freq_SUBTLEX,aoa
inane,Inen,7.2,1.36,16.53
inapt,Inæpt,2.48,NULL,NaN
inboard,Inbɔrd,5.23,1.04,10.44
inborn,Inbɔrn,5.54,0.7,13
inbound,InbĂnd,6.83,1.8,11.26
inbreed,Inbr!d,3.4,NULL,NaN
Inca,Iŋkə,6.58,1,NaN
incense,Insɛns,6.2,1.97,10.45
incensed,Insɛnst,5.66,1.04,10.45
incest,Insɛst,7.31,1.65,12.26
inches,In©əz,9.55,2.82,5.11
incise,InsĨz,1.39,1.04,13.77
incite,InsĨt,6.3,1.34,13.12
incline,InklĨn,6.5,1.3,10.9
inclined,InklĨnd,8.54,2.23,10.63
include,Inklud,11.88,2.76,6.47
includes,Inkludz,11.2,2.43,6.47
income,Inkʌm,10.49,2.58,9.67
incomes,Inkʌmz,7.67,1.08,9.67
increase,Inkr!s,10.68,2.64,7.42
increased,Inkr!st,9.99,2.32,NaN
incur,Iŋkɝ,7.32,1.46,13.75
incurred,Iŋkɝd,7.2,1.45,13.75
incurs,Iŋkɝz,4.85,0.7,13.75
indeed,Ind!d,10.69,3.32,7.74
indent,Indɛnt,6.63,0.85,10.26
index,Indɛks,10.39,2.03,7.89
India,Ind!ə,10.25,1.86,NaN
India's,Ind!əz,7.55,NULL,NaN
Indian,Ind!ən,10.02,2.25,NaN
Indian's,Ind!ənz,4.33,NULL,NaN
Indians,Ind!ənz,8.94,2.17,NaN
indict,IndĨt,5.25,1.66,11.82
Indies,Ind!z,7.62,0.48,NaN
indoor,Indɔr,8.16,1.84,5.05
indoors,Indɔrz,7.38,2.1,4.64
induce,Indus,7.43,1.92,12.05
induced,Indust,7.88,1.81,12.05
induct,Indʌkt,3.78,0.6,11.72
indulge,Indʌlĵ,7.31,2.17,11.44
indulged,Indʌlĵd,5.6,1.42,11.44
inept,Inɛpt,6.92,1.64,14.29
inert,Inɝt,6.43,1.28,13.1
infant,Infənt,9.13,2.33,6.42
infant's,Infənts,5.08,NULL,NaN
infants,Infənts,7.69,1.81,6.42
infarct,Infɑrkt,2.83,0.48,14.58
infect,Infɛkt,6.99,1.8,9.15
infer,Infɝ,7.29,1.48,12.71
inferred,Infɝd,6.65,0.95,12.71
infest,Infɛst,4.88,1.18,9.58
infield,Inf!ld,5.69,1.4,8.11
infirm,Infɝm,4.93,1.2,13.12
inflame,Inflem,4.98,1.15,11.56
inflamed,Inflemd,5.94,1.53,NaN
inflate,Inflet,6.41,1.42,8.37
inflect,Inflɛkt,3.14,0.3,10.75
inflict,InflIkt,7.09,1.85,10.74
inflow,Inflo,5.51,0.7,11.6
influence,Influəns,9.89,2.88,10.32
influenced,Influənst,8.48,2.03,10.32
influx,Inflʌks,6.8,1.15,14.69
info,Info,11.98,2.28,9.37
inform,Infɔrm,9.1,2.81,8.79
informed,Infɔrmd,9.63,2.8,8.79
informs,Infɔrmz,7.01,1.64,8.79
infract,Infrækt,NULL,NULL,NaN
infringe,InfrInĵ,7.04,0.9,14.56
infuse,Infyuz,5.74,1,14.37
ingest,Inĵɛst,6.52,1.38,12.21
ingot,Iŋgət,4.23,0.48,13.43
ingrain,Iŋgren,2.4,0.3,11.18
ingrown,Ingron,4.01,1.26,10.24
inhale,Inhel,6.75,2.08,7.26
inject,Inĵɛkt,6.96,2.09,10.17
injure,Inĵɝ,7.11,1.72,7.53
injured,Inĵɝd,8.63,2.73,7.53
inkling,IŋklIŋ,5.78,1.56,12.89
inkpad,Iŋkpæd,NULL,NULL,8
inkpot,Iŋkpɑt,NULL,NULL,NaN
inkstand,Iŋkstænd,0.69,NULL,10.85
inkwell,Iŋkwɛl,3.58,1.15,11.76
inky,Iŋk!,4.91,1.08,9.29
inlaid,Inled,4.56,1,13.69
inland,Inlənd,7.02,1.85,NaN
inlay,Inle,5.16,1.15,13.39
inlet,Inlɛt,6.65,1.38,9.76
inlets,Inlɛts,4.6,0.3,9.76
inmate,Inmet,7.02,2.14,8.9
inmates,Inmets,7.37,2.3,8.9
inmost,Inmost,4.34,0.78,12.8
innards,Inɝdz,5.92,1.32,9.89
innate,Inet,7.09,1.6,13.58
inner,Inɝ,9.37,2.71,7.94
inning,InIŋ,6.02,2.11,7.12
innings,InIŋz,7.57,1.7,7.12
input,Inpʊt,10.48,2.18,10.67
inquest,Iŋkwɛst,5.82,1.62,12.74
inquire,InkwĨr,8.05,1.94,10.4
inquired,InkwĨrd,6.9,1.46,10.4
inroad,Inrod,2.77,NULL,NaN
inroads,Inrodz,5.68,1,NaN
inrush,Inrʌ∫,3.71,NULL,NaN
insane,Insen,8.79,3.3,7.96
inscribe,InskrĨb,6.06,1,10.11
inscribed,InskrĨbd,6.75,1.52,10.11
insect,Insɛkt,7.84,2.21,4.75
insects,Insɛkts,7.77,2.2,4.75
insert,Insɝt,10.47,2.15,8.2
inserts,Insɝts,8.85,1.23,8.2
inset,Insɛt,5.86,0.3,12.37
insets,Insɛts,4.08,0.3,12.37
inshore,In∫ɔr,4.47,0.78,NaN
inside,InsĨd,11.06,4.03,4.77
insides,InsĨdz,6.89,2.13,4.77
insight,InsĨt,8.95,2.16,10.95
insights,InsĨts,8.08,1.72,10.95
insist,InsIst,9.02,2.96,8.33
insists,InsIsts,8.05,2.27,8.33
insole,Insol,4.51,0.48,12.21
inspect,Inspɛkt,7.37,2.12,8.21
inspire,InspĨr,7.27,2.3,8.11
inspired,InspĨrd,8.68,2.59,8.11
inspires,InspĨrz,6.16,1.77,8.11
install,Instɔl,10.81,2.14,10.14
installed,Instɔld,10.83,2.36,10.14
instance,Instəns,10.2,2.93,9.57
instant,Instənt,9.16,2.74,7.05
instate,Instet,3,0.48,11.81
instead,Instɛd,11.57,3.61,6.68
instep,Instɛp,5.15,1.23,12
instil,InstIl,3.91,0.3,NaN
instinct,InstIŋkt,8.1,2.59,10.65
instincts,InstIŋkts,7.26,2.63,10.65
instruct,Instrʌkt,7.09,1.93,9
instructs,Instrʌkts,6.17,0.78,9
insult,Insʌlt,8.87,2.81,8.63
insults,Insʌlts,8.28,2.18,8.63
insure,In∫ʊr,8.43,1.74,10.59
insured,In∫ʊrd,7.86,2.1,11.11
insures,In∫ʊrz,6.08,0.95,10.59
intact,Intækt,8.77,2.51,9.84
intake,Intek,8.23,1.83,12.84
intend,Intɛnd,9.32,3.07,8.94
intends,Intɛndz,7.75,2.02,8.94
intense,Intɛns,9.02,2.72,9.67
intent,Intɛnt,9.47,2.46,9.37
inter,Indɝ,7.82,1.28,11.73
intern,Intɝn,7.32,2.37,14
interned,Intɝnd,5.17,1.23,14
interns,Intɝnz,5.96,1.99,14
interred,Intɝd,4.41,1,11.73
into,Intu,13.24,4.63,6.52
intone,Inton,3.58,0.3,12.71
intoned,Intond,4.82,0.6,12.71
intrigue,Intr!g,6.62,1.89,10.68
intrigued,Intr!gd,7.27,1.96,10.93
intrigues,Intr!gz,5.61,1.26,10.68
intro,Intro,8.68,2.01,8.84
intrude,Intrud,5.87,2.11,9.44
intrudes,Intrudz,4.09,0.3,9.44
intuit,Intuət,6.91,0.3,12
inure,Inyʊr,3.04,0.3,15.67
inured,Inyʊrd,3.87,0.6,15.67
invade,Inved,7.53,2.2,9.39
invades,Invedz,5.7,1.26,9.39
invent,Invɛnt,7.85,2.37,8.16
inverse,Invɝs,7.57,1.18,14.58
invert,Invɝt,6.29,0.85,11.79
invest,Invɛst,8.98,2.38,12.53
invests,Invɛsts,5.77,0.85,12.53
invite,InvĨt,8.77,3.18,6.79
invites,InvĨts,7.6,2.04,6.79
invoice,Invœs,7.33,1.73,14.17
invoke,Invok,8.46,1.72,14.11
invoked,Invokt,7.63,1.45,14.11
involve,Invɑlv,9.21,2.52,9.71
involved,Invɑlvd,10.99,3.54,9.71
involves,Invɑlvz,9.38,2.41,9.71
inward,Inwɝd,7.12,1.61,7.54
inwards,Inwɝdz,5.63,0.85,NaN
Io,Ĩo,8.5,1.18,NaN
iodide,ĨədĨd,4.62,1,15.07
iodine,Ĩəd!n,6.96,1.81,11.18
iodize,ĨədĨz,NULL,NULL,NaN
ionize,ĨənĨz,3.43,NULL,NaN
ionized,ĨənĨzd,5.12,1,NaN
Iowa,Ĩəwə,9.35,1.77,NaN
Iran,Iræn,9,1.36,NaN
Iraq,Irɑk,8.4,1.65,NaN
irate,Ĩret,6.17,1.51,11.2
Ireland,Ĩrlənd,9.36,1.36,NaN
Ireland's,Ĩrləndz,5.26,NULL,NaN
Irene,Ĩr!n,6.94,2.21,NaN
iris,ĨrIs,8.41,2.43,8.96
Irish,ĨrI∫,9.32,1.9,NaN
irksome,ɝksm,4.77,1,11.6
ironclad,Ĩɝnklæd,4.93,1.43,11.39
ironing,ĨɝnIŋ,5.62,1.88,NaN
ironside,ĨɝnsĨd,5.04,0.3,NaN
ironware,Ĩɝnwɛr,NULL,NULL,NaN
ironwork,Ĩɝnwɝk,2.56,0.6,11.12
Irving,ɝvIŋ,7.69,NULL,NaN
Isaac,Ĩzək,8.4,2.22,NaN
Isaiah,Ĩzeə,7.52,1.88,NaN
Isis,ĨsIs,7.24,1.04,NaN
Islam,Izlɑm,9.41,0.9,NaN
Islam's,Izlɑmz,4.89,NULL,NaN
island,Ĩlənd,10.71,3.31,7.41
island's,Ĩləndz,5.78,NULL,NaN
islands,Ĩləndz,9.12,2.36,7.41
islet,Ĩlət,7.18,NULL,NaN
isn't,Iznt,11.89,NULL,NaN
Israel,Izr!əl,9.95,1.76,NaN
Israel's,Izr!əlz,6.76,NULL,NaN
issuance,I∫uəns,6.6,0.6,12.76
issue,I∫u,11.68,3.24,8.6
issued,I∫ud,9.61,2.45,8.6
issues,I∫uz,11.33,2.98,8.6
isthmus,Isθməs,4.62,0.78,14.08
it'd,Itəd,8.45,NULL,NaN
it'll,Idl,9.61,NULL,NaN
itches,I©əz,4.96,1.79,5.05
itching,I©Iŋ,6.81,2.06,5.05
itchy,I©!,6.76,2.07,5.16
item,Ĩdəm,10.47,2.8,5.68
items,Ĩdəmz,10.81,2.54,5.68
itself,Itsɛlf,11.24,3.31,6.42
ivies,Ĩv!z,3.71,0.3,NaN
ivy,Ĩv!,7.61,2.24,NaN
jabber,ĵæbɝ,5.97,1.42,9.67
jabbing,ĵæbIŋ,4.7,1.2,8.42
jackal,ĵækl,7.8,1.91,12.17
jackass,ĵækæs,6.16,2.54,10
jacket,ĵækət,9.23,3.23,3.95
jackets,ĵækəts,7.31,2.25,3.95
Jackie,ĵæk!,8.25,3.11,NaN
Jackie's,ĵæk!z,5.41,NULL,NaN
jackpot,ĵækpɑt,6.88,2.28,7.39
Jackson,ĵæksn,9.68,3.22,NaN
Jackson's,ĵæksnz,6.68,NULL,NaN
Jacksons,ĵæksnz,4.62,NULL,NaN
Jacob,ĵekəb,8.47,2.78,NaN
Jacobs,ĵekəbz,7.86,NULL,NaN
jaded,ĵedəd,6.23,1.61,11.61
jagged,ĵægəd,6.22,1.48,8.11
jaguar,ĵægwɑr,8.74,2.09,7.78
jailbird,ĵelbɝd,2.56,1.54,9.42
jailbreak,ĵelbrek,3.85,1.43,8.83
jailer,ĵelɝ,3.93,1.89,10.2
James's,ĵemzəz,4.95,NULL,NaN
Jameson,ĵemsn,6.41,1.97,NaN
Jamestown,ĵemztĂn,5.74,0.9,NaN
Janet,ĵænət,8.8,2.96,NaN
jangle,ĵæŋgl,3.83,1.26,8
Janice,ĵænIs,7.64,NULL,NaN
Janis,ĵænIs,6.79,NULL,NaN
Japan,ĵəpæn,10.58,2.9,NaN
jargon,ĵɑrgən,7.4,1.51,11.94
jarring,ĵɑrIŋ,5.74,1.04,NaN
jasmine,ĵæzmIn,7.75,2.45,10.26
Jason,ĵesn,10.27,3.26,NaN
jasper,ĵæspɝ,6.97,2.37,10.69
jaundice,ĵɔndIs,5.59,1.18,13.05
jaunty,ĵɔnd!,3.91,1,10.94
Java,ĵɑvə,9.14,1.9,NaN
jawbone,ĵɔbon,4.34,1.34,8.53
Jaycee,ĵes!,3,0.3,NaN
jaywalk,ĵewɔk,2.77,0.78,10.33
jazzy,ĵæz!,6.63,1.42,9.39
jealous,ĵɛləs,8.11,3.29,7.42
Jeannie,ĵ!n!,5.86,NULL,NaN
jeepers,ĵ!pɝz,4.73,1.73,NaN
jellies,ĵɛl!z,4.55,1.28,4.11
jello,ĵɛlo,6.91,1.46,NaN
jelly,ĵɛl!,7.62,2.56,4.11
Jena,yenɑ,5.28,NULL,NaN
Jennie's,ĵɛn!z,2.08,NULL,NaN
Jenny,ĵɛn!,8.05,3.02,NaN
Jenny's,ĵɛn!z,5.69,NULL,NaN
jerking,ĵɝkIŋ,6.89,2.07,8.31
jerky,ĵɝk!,7.16,2.07,8.94
Jerry,ĵɛr!,9.89,3.5,NaN
Jerry's,ĵɛr!z,6.75,NULL,NaN
jersey,ĵɝz!,9.64,2.97,8.96
jersey's,ĵɝz!z,5.13,NULL,NaN
Jess's,ĵɛsəz,3.4,NULL,NaN
Jesse,ĵɛs!,8.66,3.11,NaN
Jessie,ĵɛs!,6.98,NULL,NaN
jester,ĵɛstɝ,6.78,2.07,10.28
jesting,ĵɛstIŋ,3.37,0.85,11.21
Jesuit,ĵɛʒuət,5.86,1.58,NaN
Jesuits,ĵɛʒuəts,5.19,1.34,NaN
Jesus,ĵ!zəs,10.51,3.91,NaN
jetsam,ĵɛtsm,4.45,1,12.11
jetting,ĵɛdIŋ,4.96,0.78,5.39
jetty,ĵɛd!,4.58,1.15,13
jewelry,ĵuəlr!,8.72,2.75,6.67
Jewish,ĵuI∫,10.18,2.85,NaN
jiffy,ĵIf!,5.46,1.91,9.33
jigger,ĵIgɝ,2.83,1.04,12.08
jiggle,ĵIgl,5.51,1.8,7.48
jigsaw,ĵIgsɔ,6.03,1.98,7.63
jihad,ĵIhɑd,8.48,1.6,15.38
jilted,ĵIltəd,4.39,1.42,NaN
jimmied,ĵIm!d,1.79,1.08,NaN
Jimmy,ĵIm!,9.01,3.61,NaN
jingle,ĵIŋgl,6.08,2.41,5.21
jingled,ĵIŋgld,2.2,0.48,NaN
jitters,ĵIdɝz,4.98,1.83,9.56
jiving,ĵĨvIŋ,3.14,1.11,10.33
Joanne,ĵoæn,7.52,NULL,NaN
jobless,ĵɑbləs,5.68,1.26,8.56
jockey,ĵɑk!,6.82,2.39,8.28
jockstrap,ĵɑkstræp,4.08,1.36,9.95
jocose,ĵokos,NULL,0.7,13.67
jocund,ĵɑkənd,NULL,0.7,14.33
Joel's,ĵoəlz,6.23,NULL,NaN
Joey,ĵo!,8.1,3.57,NaN
jogger,ĵɑgɝ,6.46,1.4,8.26
joggle,ĵɑgl,1.1,0.3,9.17
Johnny,ĵɑn!,9.02,3.64,NaN
Johnson,ĵɑnsn,10.1,3.19,NaN
joiner,ĵœnɝ,5.13,1.26,11.35
joiners,ĵœnɝz,4.19,NULL,NaN
joining,ĵœnIŋ,9.02,2.79,5.83
jointly,ĵœntl!,7.31,1.11,NaN
joker,ĵokɝ,7.48,2.37,6.55
jokers,ĵokɝz,5.69,1.72,6.55
joking,ĵokIŋ,7.87,2.98,5.2
jolly,ĵɑl!,7.48,2.58,6.59
jolting,ĵoltIŋ,4.44,0.48,NaN
jolty,ĵolt!,NULL,0.3,10.64
Jonah,ĵonə,7.47,2.17,NaN
jonquil,ĵɑŋkwIl,2.2,0.48,14
Jordan,ĵɔrdn,9.32,3.01,NaN
Jose,hoze,9.96,2.36,NaN
Joseph,ĵozəf,10.06,3.01,NaN
Joseph's,ĵozəfs,6.2,NULL,NaN
Joshua,ĵɑ∫uə,8.78,2.45,NaN
Josiah,ĵosĨə,5.69,NULL,NaN
jostle,ĵɑsl,3.83,0.78,9.94
jotted,ĵɑdəd,4.39,1.2,8.17
jotting,ĵɑdIŋ,3.91,0.9,8.17
journal,ĵɝnl,10.28,2.66,8.5
journals,ĵɝnlz,8.65,1.96,8.5
journey,ĵɝn!,8.81,3.01,7.67
journey's,ĵɝn!z,4.96,NULL,NaN
journeyed,ĵɝn!d,4.77,1.77,7.67
journeys,ĵɝn!z,6.38,1.53,7.67
jovial,ĵov!əl,7.43,1.08,11.33
joyful,ĵœfl,6.34,1.89,7.05
joyously,ĵœəsl!,3.93,1,NaN
joyride,ĵœrĨd,4.83,1.66,9.72
joystick,ĵœstIk,8.84,1.2,9.29
Judah,ĵudə,6.42,2.07,NaN
Judas,ĵudəs,7.01,2.36,NaN
Judea,ĵud!ə,5.85,NULL,NaN
judge's,ĵʌĵəz,6.5,NULL,NaN
judgement,ĵʌĵmənt,9.09,2.28,NaN
judges,ĵʌĵəz,8.94,2.63,8.85
judgeship,ĵʌĵ∫Ip,2.89,1.04,12.79
judging,ĵʌĵIŋ,8.61,2.62,8.85
judgment,ĵʌĵmənt,8.75,2.92,8.94
Judith,ĵudIθ,7.63,2.39,NaN
judo,ĵudo,7.14,1.7,10.67
Judy,ĵud!,8.47,2.97,NaN
juggle,ĵʌgl,7.02,1.88,6.39
juices,ĵusəz,7.65,1.76,4.4
juicy,ĵus!,7.15,2.34,4.84
jukebox,ĵukbɑks,6.54,2.07,7.42
julep,ĵulIp,3.74,1.28,12.55
juleps,ĵulIps,3.18,0.9,12.55
Julia,ĵulyə,8.3,NULL,NaN
Julian,ĵulyən,8.65,2.58,NaN
Julie,ĵul!,8.75,NULL,NaN
Julius,ĵulyəs,7.15,2.62,NaN
July,ĵʊlĨ,10.06,2.79,NaN
jumble,ĵʌmbl,5.47,1.23,7.74
jumbled,ĵʌmbld,5.73,1.42,7.74
jumbo,ĵʌmbo,7.69,2.16,7.78
jumper,ĵʌmpɝ,8.66,2.07,7
jumping,ĵʌmpIŋ,9.04,2.86,2.84
jumpy,ĵʌmp!,5.67,2.2,8.11
junction,ĵʌŋk∫n,7.77,2.18,11.68
juncture,ĵʌŋk©ɝ,6.14,1.61,11.62
junctures,ĵʌŋk©ɝz,3.18,NULL,NaN
Jungian,yʊŋ!ən,5.38,1.04,NaN
jungle,ĵʌŋgl,8.61,3.06,5.26
jungles,ĵʌŋglz,5.82,1.57,5.26
junior,ĵunyɝ,9.22,3.26,7.11
junior's,ĵunyɝz,4.76,NULL,NaN
juniors,ĵunyɝz,6.47,1.4,7.11
junkie,ĵʌŋk!,7.01,2.42,12.68
junkies,ĵʌŋk!z,6.55,2.03,12.68
Juno,ĵuno,6.11,1.04,NaN
junta,hʊndə,6.51,1.34,NaN
juries,ĵʊr!z,6.56,1.91,11.05
jurist,ĵʊrIst,4.64,1.15,12.71
jurists,ĵʊrIsts,5.21,0.3,12.71
juror,ĵʊrɝ,5.69,2.12,10.16
jurors,ĵʊrɝz,6.36,2.11,10.16
jury,ĵʊr!,8.85,3.34,11.05
justice,ĵʌstIs,10.36,3.28,9.47
Justine,ĵʌst!n,6.47,NULL,NaN
justly,ĵʌstl!,6.25,1.26,NaN
justness,ĵʌstnəs,2.48,0.3,10.81
jutting,ĵʌdIŋ,5.38,0.78,NaN
kaboom,kəbum,6.04,NULL,NaN
Kafka,kɑfkə,5.82,1.53,NaN
kaiser,kĨzɝ,7.57,1.91,NaN
kaiser's,kĨzɝz,3.61,NULL,NaN
kaisers,kĨzɝz,3.37,0.48,NaN
Kali,kɑl!,7.62,1.8,NaN
Kansas,kænzəs,9.11,2.79,NaN
kappa,kæpə,7.07,1.73,15.71
kaput,kəpʊt,5.14,1.72,11.35
Karen,kærən,9.45,3.15,NaN
karma,kɑrmə,8.58,2.25,13.67
Kashmir,kæ∫mIr,7.75,1.6,NaN
Kathleen,kæθl!n,7.82,NULL,NaN
Kathy,kæθ!,8.55,2.61,NaN
Katie,ked!,7.51,NULL,NaN
Katie's,ked!z,4.56,NULL,NaN
kayak,kĨæk,6.8,1.43,8.8
kazoo,kəzu,5,1.51,6.25
keelhaul,k!lhɔl,1.1,0.3,10.12
keenest,k!nIst,3.33,0.95,10.7
keening,k!nIŋ,3.56,0.3,NaN
keenly,k!nl!,5.56,1.3,NaN
keeper,k!pɝ,8.99,2.32,8.13
keeping,k!pIŋ,10.19,3.42,4.42
keepsake,k!psek,5.02,1.57,9.47
kegful,kɛgfʊl,NULL,NULL,NaN
Kelly,kɛl!,9.61,3.46,NaN
Kelvin,kɛlvIn,7.69,2.13,NaN
kennel,kɛnl,7.92,1.76,9.89
Kenneth,kɛnIθ,9.08,NULL,NaN
kenning,kɛnIŋ,2.08,NULL,NaN
keno,k!no,5.35,1.64,16.62
Kenya,kɛnyə,7.18,2.09,NaN
Kepler,kɛplɝ,6.02,NULL,NaN
kerchief,kɝ©If,3.91,1.3,6.94
kernel,kɝnl,10.43,1.56,8.74
kernels,kɝnlz,7.79,0.9,8.74
ketches,kɛ©əz,0.69,0.3,NaN
ketchup,kɛ©ʌp,6.99,2.49,4.3
kettle,kɛdl,7.31,2.16,8.06
keyboard,k!bɔrd,10.47,1.97,9.32
keyhole,k!hol,5.52,1.73,7.86
keyless,k!ləs,4.68,0.3,10.5
keynote,k!not,7.31,1.53,11.32
keynotes,k!nots,2.56,0.3,11.32
keypunch,k!pʌn©,3.95,NULL,NaN
keystone,k!ston,6.82,1.28,11.44
khaki,kɑk!,5.29,1.63,9.89
Khmer,kəmɛr,6.96,1.26,NaN
kibbutz,kIbʊts,5.01,1.11,14.33
kickback,kIkbæk,5.14,1.2,13.33
kickbacks,kIkbæks,4.96,1.32,13.33
kicker,kIkɝ,6.99,1.74,6.39
kicking,kIkIŋ,8.38,2.9,4.06
kickoff,kIkɔf,5.54,1.73,8.84
kidded,kIdəd,3.81,1.15,4.28
kidder,kIdɝ,5.24,1.65,8.53
kidding,kIdIŋ,8.9,3.83,4.28
kiddy,kId!,5.66,1.28,6.71
kidnap,kIdnæp,6.44,2.52,7.44
kidnapped,kIdnæpt,7.17,2.92,7.44
kidney,kIdn!,7.81,2.69,9.33
kidneys,kIdn!z,6.76,2.33,9.33
killer,kIlɝ,9.52,3.51,6.48
killers,kIlɝz,7.98,2.76,6.48
killing,kIlIŋ,10.06,3.6,6.35
killjoy,kIlĵœ,4.72,1.4,12.94
kilo,k!lo,6.34,1.91,11.94
kinder,kĨndɝ,6.92,1.75,4.89
kindest,kĨndIst,5.74,1.85,4.89
kindle,kIndl,4.66,1,12.36
kindled,kIndld,5.2,1,12.36
kindly,kĨndl!,8.6,2.73,NaN
kindness,kĨndnəs,7.74,2.66,6.26
kindred,kIndrəd,7.53,1.66,11.67
kinfolk,kInfok,4.7,1.28,10.47
kingdom,kIŋdəm,9.56,2.9,6.05
kingdoms,kIŋdəmz,7.06,1.63,6.05
kingpin,kIŋpIn,5.89,1.72,12.17
kinky,kIŋk!,7.37,2.18,12.8
kinsfolk,kInzfok,2.83,NULL,NaN
kinship,kIn∫Ip,6.51,1.36,10.11
kinsman,kInzmən,4.74,1.23,11.82
kiosk,k!ɑsk,6.06,1.38,11
Kipling,kIplIŋ,6.38,NULL,NaN
kisser,kIsɝ,6.11,2.24,6.88
kisses,kIsəz,7.78,2.6,3.61
kissing,kIsIŋ,8.27,3.08,3.61
kitchen,kI©ən,9.18,3.47,3.68
kitchens,kI©ənz,5.96,1.58,3.68
kitten,kItn,7.71,2.38,3.64
kittens,kItnz,7.4,1.92,3.64
kitty,kId!,8.32,3.13,3.54
kitty's,kId!z,5.29,NULL,NaN
kiwi,k!w!,7.24,1.61,7.56
Kleenex,kl!nɛks,5.95,1.9,NaN
knapsack,næpsæk,5.23,1.53,11.17
kneecap,n!kæp,5.07,1.48,6.37
kneeling,n!lIŋ,6.91,1.74,6.95
knickers,nIkɝz,6.12,1.82,9.94
knifelike,nĨflĨk,0.69,NULL,NaN
knighthood,nĨthʊd,4.8,1.43,9.68
knightly,nĨtl!,3.58,1,NaN
knitted,nIdəd,5.39,1.53,7.86
knitting,nIdIŋ,6.99,2.06,7.24
knitwear,nItwɛr,4.16,NULL,NaN
knobble,nɑbəl,NULL,NULL,NaN
knobbly,nɑbblĨ,2.64,NULL,NaN
knobby,nɑb!,4.58,0.7,11.71
knockdown,nɑkdĂn,5.06,1.28,8.63
knocker,nɑkɝ,3.81,1.26,7.89
knocking,nɑkIŋ,7.8,2.88,NaN
knockout,nɑkĂt,6,2.23,8.43
knothole,nɑthol,4.04,0.85,8.84
knotted,nɑdəd,5.4,1.34,6.05
knotty,nɑd!,4.3,0.9,8.33
knoweth,noIθ,4.63,0.7,NaN
knowing,noIŋ,10.08,3.36,4.5
knowledge,nɑlIĵ,11.34,3.11,7.68
Knoxville,nɑksvIl,7.44,1.46,NaN
knuckle,nʌkl,6.5,1.83,5.94
knuckled,nʌkld,4.09,0.3,NaN
knuckles,nʌklz,6.74,2.25,5.35
Koran,kɝræn,6.9,1.26,NaN
Korea,kɝr!ə,9.12,2.8,NaN
Korean,kɝr!ən,9.03,2.71,NaN
Koreans,kɝr!ənz,7.66,1.99,NaN
kosher,ko∫ɝ,7.41,2.14,13.29
krautheads,krĂthɛdz,NULL,NULL,NaN
Kremlin,krɛmlIn,5.9,1.71,NaN
Krishna,krI∫nə,7.75,2.18,NaN
kudos,kudoz,7.01,1.65,13.26
kumquat,kʌmkwɑt,4.03,1.4,12.47
Kuwait,kyuwet,7.96,1.69,NaN
label,lebl,10.04,2.55,6.1
labeled,lebld,8.38,1.86,6.1
labelled,lebld,7.84,1.28,NaN
labels,leblz,9.03,2,6.1
labial,leb!əl,4.36,0.3,17.17
labile,lebl,2.83,0.48,12
labor,lebɝ,9.84,2.79,8.28
labor's,lebɝz,4.75,NULL,NaN
labored,lebɝd,5.68,1.42,8.28
labors,lebɝz,6.04,1.28,8.28
laces,lesəz,7.07,1.65,6.44
lackey,læk!,6.28,1.53,11.07
lackeys,læk!z,5.88,1.2,11.07
lacking,lækIŋ,8.7,2.11,8.28
lacquer,lækɝ,5.81,1.36,13.19
lacquered,lækɝd,3.64,0.85,NaN
lacrosse,ləkrɔs,5.74,1.73,12.94
lactate,læktet,5.03,0.95,14.33
lactic,læktIk,6.04,0.78,12.82
lactose,læktos,6.47,1.49,13.06
lacy,les!,6.63,1.52,NaN
ladder,lædɝ,8,2.67,4.4
laddie,læd!,4.76,2,10.5
laden,ledn,6.4,1.92,7.78
ladies,led!z,9.05,3.85,3.68
ladle,ledl,5.07,1.59,9.83
lady,led!,10.17,4.04,3.68
lady's,led!z,6.34,NULL,NaN
lager,lɑgɝ,6.99,1.42,14
lagers,lɑgɝz,5.8,0.3,14
laggard,lægɝd,2.89,0.3,12.4
lagoon,ləgun,6.5,1.91,9.42
lagoons,ləgunz,3.91,1,9.42
laity,leəd!,5.09,NULL,NaN
Lama,lɑmə,7.29,2.2,NaN
lambast,læmbæst,4.03,NULL,14.17
lambskin,læmskIn,3.43,0.7,10.78
lament,ləmɛnt,6.55,1.7,11.81
laments,ləmɛnts,5.14,0.6,11.81
lamplight,læmplĨt,2.89,0.85,7
lampoon,læmpun,5.46,0.78,12.89
lamppost,læmppost,4.04,1.46,8.39
lamprey,læmpr!,3.91,NULL,NaN
lampshade,læmp∫ed,4.38,1.18,5.63
lancer,lænsɝ,5.97,1.36,13.12
lances,lænsəz,5.01,1.48,11.79
landed,lændəd,8.4,2.82,5.22
lander,lændɝ,6.53,1,NaN
landfall,lændfɔl,4.47,1.42,10.79
landing,lændIŋ,8.93,2.91,6.72
landings,lændIŋz,6.96,1.85,6.72
landless,lændləs,5.02,NULL,NaN
landlocked,lændlɑkt,4.78,1.04,11
landlord,lændlɔrd,7.02,2.44,10.05
landlords,lændlɔrdz,6.74,1.38,10.05
landmark,lændmɑrk,7.24,1.81,9.61
landmarks,lændmɑrks,6.12,1.28,9.61
landmine,lændmĨn,4.36,0.9,10.95
landscape,lændskep,8.1,2.11,9.89
landscaped,lændskept,4.85,0.6,NaN
landscapes,lændskeps,6.37,1.46,9.89
landslide,lændslĨd,6.07,1.63,9.42
